filtered	sample
29108	2017-11-29-3364-PR2-0071-A
26628	2017-11-29-3364-PR2-0071-B
65644	2017-11-29-3505-PR2-009-A
2	2017-11-29-3505-PR2-009-B
1	2017-11-29-3505-PR2-011-a
29999	2017-11-29-3505-PR2-011-b
42577	2017-11-29-3510-PR2-009-A
0	2017-11-29-3510-PR2-009-B
2	2017-11-29-3510-PR2-011-a
21082	2017-11-29-3510-PR2-011-b
0	2017-12-04-3001-PR2-009-A
0	2017-12-04-3001-PR2-009-B
15197	2017-12-04-3001-PR2-011-a
27015	2017-12-04-3001-PR2-011-b
57954	2017-12-04-3055-PR2-009-A
0	2017-12-04-3055-PR2-009-B
1	2017-12-04-3055-PR2-011-a
21094	2017-12-04-3055-PR2-011-b
27971	2017-12-04-3164-PR2-0071-A
30197	2017-12-04-3164-PR2-0071-B
3	2017-12-04-3514-PR2-010-a
3	2017-12-04-3514-PR2-010-b
34359	2017-12-05-3284-PR2-0072-A
25926	2017-12-05-3284-PR2-0072-B
416	2017-12-05-3285-PR2-0061-A
278	2017-12-05-3285-PR2-0061-B
9	2017-12-05-3523-PR2-008-A
0	2017-12-05-3523-PR2-008-B
1	2017-12-05-3523-PR2-010-a
0	2017-12-05-3523-PR2-010-b
45967	2017-12-05-3527-PR2-009-A
9012	2017-12-05-3527-PR2-009-B
0	2017-12-06-3336-PR2-009-A
8987	2017-12-06-3336-PR2-009-B
1	2017-12-06-3336-PR2-011-a
0	2017-12-06-3336-PR2-011-b
31051	2017-12-11-3540-PR2-0072-A
34480	2017-12-11-3540-PR2-0072-B
0	2017-12-11-3541-PR2-009-A
1	2017-12-11-3541-PR2-009-B
2	2017-12-11-3541-PR2-010-a
3	2017-12-11-3541-PR2-010-b
7170	2017-12-11-3542-PR2-0061-A
21388	2017-12-11-3542-PR2-0061-B
25828	2017-12-11-3546-PR2-0072-A
27060	2017-12-11-3546-PR2-0072-B
0	2017-12-11-3547-PR2-008-A
19944	2017-12-11-3547-PR2-008-B
1	2017-12-11-3547-PR2-010-a
4	2017-12-11-3547-PR2-010-b
0	2017-12-11-3547-PR2-17-B
18755	2017-12-11-3557-PR2-008-A
17944	2017-12-11-3557-PR2-008-B
117	2017-12-12-3575-PR2-009-A
0	2017-12-12-3575-PR2-009-B
1	2017-12-12-3575-PR2-010-a
1	2017-12-12-3575-PR2-010-b
2405	2017-12-12-3577-PR2-0072-A
5733	2017-12-12-3577-PR2-0072-B
